"entrez" "genename" "PubMed" "scaledconnectivity"
"321" 752 "FMNL1" 28 0.0935829148710696
"322" 753 "C18orf1" 18 0.0820472165482684
"323" 754 "PTTG1IP" 30 0.146834143007048
"324" 755 "C21orf2" 19 0.0832786160393671
"325" 757 "TMEM50B" 12 0.234306133993268
"326" 760 "CA2" 177 0.0956038324439955
"327" 762 "CA4" 50 9.61980003332842e-05
"328" 767 "CA8" 42 0.000604059083676709
"329" 770 "CA11" 14 0.690997211279812
"330" 771 "CA12" 47 0.0740185541434273
"331" 773 "CACNA1A" 204 0.171240662941566
"332" 774 "CACNA1B" 46 0.828193094023579
"333" 775 "CACNA1C" 239 0.257201810999475
"334" 776 "CACNA1D" 65 0.186524924549039
"335" 777 "CACNA1E" 47 0.314120272519103
"336" 780 "DDR1" 131 0.0714131534685385
"337" 781 "CACNA2D1" 56 0.276499901044871
"338" 782 "CACNB1" 25 0.722645259207897
"339" 783 "CACNB2" 62 0.499070721098928
"340" 784 "CACNB3" 20 0.510209777369818
"341" 785 "CACNB4" 35 0.67660382478233
"342" 788 "SLC25A20" 35 0.102048117820363
"343" 790 "CAD" 75 0.0673946781037689
"344" 800 "CALD1" 75 0.1534910795792
"345" 801 "CALM1" 394 0.651404781704518
"346" 805 "CALM2" 144 0.142285881548394
"347" 808 "CALM3" 168 0.79735915747914
"348" 811 "CALR" 351 0.289259094904655
"349" 813 "CALU" 76 0.123064048871581
"350" 815 "CAMK2A" 160 0.855665037176112
"351" 816 "CAMK2B" 80 0.747301482372458
"352" 817 "CAMK2D" 78 0.0682784774219446
"353" 818 "CAMK2G" 135 0.269209903299058
"354" 819 "CAMLG" 33 0.0636340238297347
"355" 821 "CANX" 209 0.0806375423670192
"356" 822 "CAPG" 49 0.232209645409994
"357" 823 "CAPN1" 175 0.083254610996944
"358" 824 "CAPN2" 126 0.0886833124715589
"359" 825 "CAPN3" 109 0.0889895040197378
"360" 826 "CAPNS1" 62 0.311599685914705
"361" 828 "CAPS" 20 0.0233266158318056
"362" 829 "CAPZA1" 75 0.415253943638633
"363" 830 "CAPZA2" 36 0.128163710626166
"364" 831 "CAST" 100 0.210590721871931
"365" 832 "CAPZB" 71 0.150761846425262
"366" 833 "CARS" 27 0.0264564797260931
"367" 834 "CASP1" 237 0.225969464560873
"368" 835 "CASP2" 147 0.106420038171277
"369" 836 "CASP3" 998 0.144264337449143
"370" 842 "CASP9" 357 0.0362041683217327
"371" 844 "CASQ1" 27 0.0419893460610566
"372" 847 "CAT" 315 0.0801732233141379
"373" 857 "CAV1" 761 0.0867212446308151
"374" 858 "CAV2" 97 0.102799355935031
"375" 861 "RUNX1" 535 0.128021071288134
"376" 865 "CBFB" 103 0.148021908960093
"377" 867 "CBL" 611 0.153665417328158
"378" 868 "CBLB" 127 0.0672011481020349
"379" 869 "CBLN1" 13 0.114239237065778
"380" 871 "SERPINH1" 109 0.160783995236555
"381" 873 "CBR1" 77 0.11700970135858
"382" 875 "CBS" 323 0.0708990829946101
"383" 883 "CCBL1" 29 0.0697039766506174
"384" 885 "CCK" 118 0.649670241942691
"385" 889 "KRIT1" 99 0.00719232200308811
"386" 891 "CCNB1" 383 0.187974965045404
"387" 892 "CCNC" 60 0.132335222129697
"388" 894 "CCND2" 160 0.011699254990924
"389" 896 "CCND3" 166 0.0144241433712993
"390" 900 "CCNG1" 40 0.101488952492158
"391" 901 "CCNG2" 34 0.0925723219134852
"392" 902 "CCNH" 132 0.113745881815264
"393" 905 "CCNT2" 40 0.0801671640844614
"394" 908 "CCT6A" 85 0.0052303042925258
"395" 920 "CD4" 1932 0.233971996940366
"396" 928 "CD9" 197 0.133030175624695
"397" 929 "CD14" 647 0.180235492982219
"398" 942 "CD86" 204 0.235258263227366
"399" 947 "CD34" 284 0.0282244703210415
"400" 949 "SCARB1" 261 0.0448855826819351
"401" 950 "SCARB2" 79 0.0528489065801644
"402" 951 "CD37" 29 0.170233654288444
"403" 952 "CD38" 215 0.0425993085031206
"404" 953 "ENTPD1" 95 0.084737294591573
"405" 954 "ENTPD2" 16 0.0116997486187442
"406" 955 "ENTPD6" 22 0.359969382400985
"407" 960 "CD44" 904 0.145851798772764
"408" 961 "CD47" 138 0.127220577793698
"409" 963 "CD53" 42 0.293166226530755
"410" 966 "CD59" 183 0.0962219614709006
"411" 967 "CD63" 176 0.421652452985052
"412" 968 "CD68" 57 0.246877529018182
"413" 972 "CD74" 137 0.199207901190043
"414" 975 "CD81" 241 0.0541842607763457
"415" 976 "CD97" 62 0.112931272006793
"416" 977 "CD151" 109 0.262904368028449
"417" 983 "CDK1" 697 0.132878805491356
"418" 984 "CDK11B" 73 0.0270251440757453
"419" 987 "LRBA" 27 0.0732089581253619
"420" 988 "CDC5L" 99 0.0769622024491062
"421" 989 "SEPT7" 62 0.0620827927929107
"422" 991 "CDC20" 229 0.166401102841091
"423" 994 "CDC25B" 120 0.0843346334429658
"424" 996 "CDC27" 181 0.0600759925777472
"425" 997 "CDC34" 143 0.144912616042199
"426" 998 "CDC42" 513 0.34959708370517
"427" 1000 "CDH2" 249 0.0529897170946774
"428" 1002 "CDH4" 40 0.0198383687942073
"429" 1003 "CDH5" 187 0.0407539267027417
"430" 1004 "CDH6" 23 0.0656012854840253
"431" 1008 "CDH10" 21 0.142667224241359
"432" 1009 "CDH11" 56 0.0695396583769285
"433" 1012 "CDH13" 173 0.247241412346661
"434" 1017 "CDK2" 653 0.193663627689968
"435" 1018 "CDK3" 41 0.0458044184337066
"436" 1019 "CDK4" 418 0.0136170752438147
"437" 1020 "CDK5" 291 0.083274068255688
"438" 1021 "CDK6" 250 0.0422218391577236
"439" 1025 "CDK9" 376 0.0534930971699649
"440" 1026 "CDKN1A" 1361 0.0178588492722748
"441" 1027 "CDKN1B" 847 0.0706754536293459
"442" 1028 "CDKN1C" 171 0.0711325335644767
"443" 1029 "CDKN2A" 1926 0.029925859795466
"444" 1030 "CDKN2B" 344 0.00410418320341041
"445" 1031 "CDKN2C" 72 0.15205100873242
"446" 1032 "CDKN2D" 59 0.633005042289986
"447" 1036 "CDO1" 32 0.0183019972449133
"448" 1039 "CDR2" 26 0.0619232991552828
"449" 1047 "CLGN" 24 0.075377140371429
"450" 1050 "CEBPA" 386 0.126453931448708
"451" 1051 "CEBPB" 373 0.142386900441148
"452" 1052 "CEBPD" 73 0.163501696380764
"453" 1054 "CEBPG" 33 0.0726621828865312
"454" 1059 "CENPB" 55 0.127267395327177
"455" 1063 "CENPF" 73 0.0768466593661318
"456" 1069 "CETN2" 70 0.100189693994271
"457" 1072 "CFL1" 238 0.186875718105099
"458" 1073 "CFL2" 54 0.0583161502348684
"459" 1075 "CTSC" 86 0.154147070293844
