fromNode	toNode	weight	direction	fromAltName	toAltName
STAT1|6772	IFI44L|10964	0.0788678976265014	undirected	NA	NA
STAT1|6772	IDO1|3620	0.124992465263026	undirected	NA	NA
STAT1|6772	LAMP3|27074	0.0817497577780011	undirected	NA	NA
HLA-F|3134	HLA-H|3136	0.119426825448759	undirected	NA	NA
HLA-F|3134	PSMB8|5696	0.0769487078065522	undirected	NA	NA
HLA-F|3134	IRF1|3659	0.0934580446509647	undirected	NA	NA
HLA-F|3134	UBE2L6|9246	0.0776782578765865	undirected	NA	NA
HLA-F|3134	HCP5|10866	0.16454270533978	undirected	NA	NA
HLA-F|3134	PSMB9|5698	0.110870878005108	undirected	NA	NA
HLA-H|3136	HCP5|10866	0.114542776295743	undirected	NA	NA
WARS|7453	UBD|10537	0.0668787108517698	undirected	NA	NA
WARS|7453	TAP2|6891	0.0710303038925261	undirected	NA	NA
WARS|7453	IRF1|3659	0.115001111138339	undirected	NA	NA
WARS|7453	PARP14|54625	0.0912530226961546	undirected	NA	NA
WARS|7453	UBE2L6|9246	0.145606936544489	undirected	NA	NA
WARS|7453	LAP3|51056	0.0787156063740907	undirected	NA	NA
WARS|7453	PSMB9|5698	0.0910181265600041	undirected	NA	NA
WARS|7453	PARP9|83666	0.0997446169579647	undirected	NA	NA
WARS|7453	TYMP|1890	0.0850003395752293	undirected	NA	NA
WARS|7453	GBP1|2633	0.137829932531689	undirected	NA	NA
WARS|7453	GBP4|115361	0.177504361797823	undirected	NA	NA
WARS|7453	IFIT3|3437	0.122158897570856	undirected	NA	NA
WARS|7453	CX3CL1|6376	0.118594157434806	undirected	NA	NA
WARS|7453	SAMD9L|219285	0.0690743588130446	undirected	NA	NA
WARS|7453	CXCL10|3627	0.140347803476276	undirected	NA	NA
WARS|7453	IFIH1|64135	0.103039199598352	undirected	NA	NA
WARS|7453	JAK2|3717	0.0864994136688435	undirected	NA	NA
WARS|7453	CXCL11|6373	0.09152933024125	undirected	NA	NA
WARS|7453	ETV7|51513	0.0705440866373024	undirected	NA	NA
WARS|7453	IDO1|3620	0.139249880688417	undirected	NA	NA
PSME1|5720	PSME2|5721	0.105826870333118	undirected	NA	NA
PSME1|5720	PSMB8|5696	0.0912142247563621	undirected	NA	NA
PSME1|5720	IRF1|3659	0.0625534913156357	undirected	NA	NA
PSME1|5720	PSMB10|5699	0.0828999740886188	undirected	NA	NA
PSME1|5720	UBE2L6|9246	0.0682844913226963	undirected	NA	NA
PSME1|5720	PSMB9|5698	0.0868899311189592	undirected	NA	NA
PSME1|5720	BATF2|116071	0.0703999531869429	undirected	NA	NA
PSME1|5720	ETV7|51513	0.0621076498416181	undirected	NA	NA
UBD|10537	TAP2|6891	0.061347416308206	undirected	NA	NA
UBD|10537	IRF1|3659	0.100690137138544	undirected	NA	NA
UBD|10537	PARP14|54625	0.0762224338805543	undirected	NA	NA
